id,features
10,"[0.4963061511516571, -0.3439158499240875, 0.3911157250404358, -0.7609394192695618, 0.2913905680179596, -0.003774515585973859, 0.04754756763577461, -1.0499440431594849, -0.09322777390480042, 0.4466620087623596, 0.352990984916687, 0.09924701601266861, -0.12983320653438568, 0.16041962802410126, -0.41692009568214417, 0.7115373015403748, 0.3605431020259857, 0.6307355165481567, -0.3251112103462219, 0.026140552014112473, -0.32027649879455566, 0.6480914950370789, 0.16884957253932953, -0.1623407006263733, 0.7322523593902588]"
20,"[0.43563544750213623, -0.9472866058349609, 0.47397246956825256, -0.6466021537780762, -0.2107294201850891, 0.21253515779972076, 0.6712673902511597, -0.8171066045761108, -0.6605400443077087, 0.4306298494338989, 0.14040593802928925, 0.5529322624206543, 0.2295043021440506, 0.24971885979175568, -0.23635977506637573, -0.11869458109140396, -0.3139347732067108, -0.019267141819000244, -0.41291701793670654, -0.46783846616744995, -0.19862230122089386, 0.4250859022140503, 0.17413495481014252, -0.3167477548122406, 0.5208446979522705]"
30,"[0.09414839744567871, -0.716353714466095, 0.6473882794380188, -0.7959373593330383, 0.33377158641815186, -0.021038981154561043, 0.5848445892333984, -0.28521260619163513, -0.3186648488044739, 0.2665623426437378, 0.5395708680152893, 0.6711302399635315, 0.021590905264019966, -0.029972489923238754, -0.2669917643070221, 0.45568686723709106, -0.07907204329967499, -0.20756596326828003, -0.16044649481773376, -0.08677350729703903, 0.05958286672830582, 0.643932580947876, 0.30295315384864807, -0.31066933274269104, 0.9872268438339233]"
40,"[-0.17701338231563568, -0.8297244906425476, 0.6936235427856445, -0.31562721729278564, 0.1759147197008133, 0.16733334958553314, 0.41111287474632263, -0.6984960436820984, -0.3749576210975647, -0.4622371196746826, 0.6213858723640442, 0.22606489062309265, 0.254018098115921, -0.1782655119895935, -0.36861974000930786, 0.05456126108765602, -0.40760308504104614, 0.20861510932445526, 0.23481261730194092, -0.4346500635147095, 0.4133005738258362, -0.04932704567909241, -0.005518461111932993, -0.5480449795722961, 1.0646488666534424]"
50,"[0.05349777638912201, -0.674195408821106, 0.4517381489276886, -0.44540414214134216, -0.0171390138566494, 0.3774612545967102, 0.5753809809684753, -0.28262966871261597, -0.5605846047401428, -0.269727498292923, 0.3378097116947174, 0.21014806628227234, 0.18378840386867523, 0.08373689651489258, -0.00031143787782639265, -0.23782923817634583, -0.08131922036409378, -0.18271014094352722, 0.08703045547008514, -0.22054623067378998, 0.0758211612701416, -0.12117557972669601, -0.2210221290588379, -0.37693139910697937, 0.3658497631549835]"
60,"[0.09505508095026016, -0.7572665810585022, 1.0689610242843628, -0.6623075008392334, 0.1414409726858139, 0.0625326931476593, 0.1693212240934372, -0.4264037609100342, -0.5114536881446838, 0.17083875834941864, 0.5839734077453613, 0.13727614283561707, -0.041600171476602554, -0.03577914834022522, -0.030703477561473846, 0.0763883888721466, -0.06029421463608742, -0.049895357340574265, -0.16103343665599823, -0.022380126640200615, -0.11212733387947083, 0.34174755215644836, 0.026402056217193604, -0.1805194914340973, 0.7913082242012024]"
70,"[-0.030385717749595642, -0.5821207761764526, 0.892105758190155, -0.8107890486717224, 0.05972028151154518, 0.3994380831718445, 0.5282784104347229, -0.7806134819984436, -0.4910169839859009, -0.4004940986633301, 0.2640719413757324, 0.20556020736694336, 0.047403786331415176, 0.07361417263746262, 0.1750609576702118, 0.40681859850883484, -0.42970114946365356, -0.21491286158561707, -0.01348493155092001, -0.16483289003372192, 0.037401217967271805, 0.29825273156166077, 0.005115211941301823, -0.47938886284828186, 0.44985494017601013]"
80,"[-0.014153212308883667, -0.5312674641609192, 0.8399364948272705, -0.548284113407135, 0.15284283459186554, 0.3372807800769806, 0.6677677631378174, -0.5126175284385681, -0.44356104731559753, 0.186615988612175, 0.6960740089416504, 0.12846507132053375, 0.16486719250679016, -0.003405233845114708, -0.4025205373764038, 0.5482196807861328, 0.20665521919727325, 0.055155687034130096, -0.02175181545317173, 0.04929206892848015, 0.27044564485549927, 0.5790843963623047, 0.2576063871383667, -0.47523364424705505, 0.6119308471679688]"
90,"[-0.10771892964839935, -0.9501659274101257, 0.4842405617237091, -0.5291174650192261, 0.10085227340459824, 0.3453247845172882, 0.8758239150047302, -0.8231473565101624, -0.6662855744361877, -0.2798633873462677, 0.1260804384946823, 0.27727964520454407, 0.36206260323524475, 0.11136116087436676, 0.26984623074531555, 0.21161049604415894, -0.0658009946346283, 0.34338024258613586, 0.15977999567985535, 0.11471199989318848, -0.1683131754398346, 0.15156997740268707, -0.03959732502698898, -0.3540295362472534, 0.7392003536224365]"
100,"[-0.2044467329978943, -0.2601943016052246, 0.7404279112815857, -0.36842286586761475, 0.28698283433914185, -0.041981738060712814, 0.6470176577568054, -0.3578154146671295, -0.48797520995140076, 0.08711452037096024, 0.47076281905174255, 0.36717721819877625, 0.34320107102394104, 0.16289441287517548, -0.1326475441455841, 0.4853474497795105, -0.3836722671985626, 0.5728124380111694, -0.11837790906429291, 0.30213871598243713, 0.0011352526489645243, 0.5347557067871094, 0.4658231735229492, -0.6746026277542114, 0.933476984500885]"
110,"[-0.012175725772976875, -0.6566556692123413, 0.21626251935958862, -0.5926875472068787, -0.03379953280091286, 0.3358446955680847, 0.8044573664665222, -0.5148496627807617, -0.40652191638946533, -0.13730907440185547, 0.412918359041214, 0.26924172043800354, 0.2993055284023285, -0.03997355327010155, -0.07526421546936035, 0.023943524807691574, -0.2727414071559906, -0.3897741436958313, -0.10405677556991577, 0.10245645046234131, 0.06718003004789352, 0.49371767044067383, -0.21809351444244385, -0.49903514981269836, 0.5891903638839722]"
120,"[-0.012483811937272549, -0.26922422647476196, 0.5667137503623962, -0.9446038603782654, -0.2928878664970398, 0.301462322473526, 0.5411437153816223, -0.33068329095840454, -0.16955684125423431, -0.040944211184978485, 0.8439425826072693, 0.03022550232708454, 0.2862733006477356, 0.15252137184143066, -0.13978086411952972, 0.138365238904953, 0.010249686427414417, -0.10037191957235336, -0.2215036153793335, -0.027019547298550606, -0.3709268867969513, -0.0695469081401825, -0.11193060129880905, -0.7510393261909485, 0.9086408019065857]"
130,"[-0.346569687128067, -0.1654176265001297, 0.3035895526409149, -0.6579244136810303, -0.10014193505048752, -0.09976498037576675, 0.43769049644470215, -0.6254779100418091, -0.6827525496482849, -0.04715834930539131, 0.3371768891811371, -0.08594619482755661, -0.21492977440357208, -0.014544662088155746, -0.3063630759716034, 0.6110905408859253, 0.40657657384872437, -0.07411686331033707, 0.3428022563457489, -0.38404449820518494, -0.17414331436157227, 0.33254697918891907, 0.3293082118034363, -0.6950352787971497, 1.0264564752578735]"
140,"[-0.0006046468042768538, -0.46371808648109436, 0.9286425709724426, -0.5026954412460327, 0.0433075986802578, 0.14825187623500824, 0.41611191630363464, -0.611298143863678, -0.43939727544784546, -0.0577627532184124, 0.6607055068016052, 0.009521100670099258, 0.04628092050552368, -0.04618219658732414, -0.27860429883003235, 0.2484373152256012, -0.23224769532680511, 0.32829979062080383, -0.09966646134853363, -0.05658525973558426, -0.10326352715492249, 0.4496605098247528, 0.4604809582233429, -0.6067102551460266, 0.3618076741695404]"
150,"[0.06149549409747124, -0.5891470909118652, 0.6868450045585632, -0.4227774143218994, 0.18108254671096802, 0.28828924894332886, 0.29981961846351624, -0.5137064456939697, -0.4375208914279938, -0.20375898480415344, 0.27638497948646545, 0.3785266876220703, 0.14717547595500946, 0.10501325875520706, 0.1398734450340271, 0.3555956482887268, 0.22052054107189178, -0.04817963391542435, 0.30325832962989807, -0.00014817023475188762, 0.38897576928138733, 0.5378581881523132, 0.004430009052157402, -0.5037762522697449, 0.9410735368728638]"
160,"[-0.03511238843202591, -1.3025716543197632, 0.011767106130719185, -0.3496539890766144, -0.6264709830284119, 0.01085585355758667, 0.6257395148277283, -0.08028600364923477, -0.26466190814971924, 0.11953788250684738, 0.5231868624687195, 0.1137724444270134, -0.38526538014411926, -0.08822830021381378, -0.39312252402305603, 0.03288867697119713, -0.41856133937835693, -0.43592825531959534, -0.06321270763874054, -0.3488325774669647, -0.324659526348114, -0.46379145979881287, 0.09596443921327591, -0.8577035069465637, 0.757546603679657]"
170,"[-0.16827283799648285, -0.15330739319324493, 0.7380166053771973, -0.5611122846603394, 0.24995538592338562, 0.0767235979437828, 0.6512699723243713, -0.2790051996707916, -0.39929530024528503, 0.2186719924211502, 0.21556547284126282, -0.0737026259303093, 0.11365781724452972, 0.0024964301846921444, -0.11150814592838287, -0.040601737797260284, 0.027137601748108864, 0.25856897234916687, -0.10154128819704056, 0.04877924546599388, -0.08957473933696747, 0.3696748912334442, 0.6158481240272522, -0.9031739830970764, 0.559964120388031]"
